날짜,시가,고가,저가,종가,거래량,등락률,EMA_short,EMA_long,MACD,MACD_Signal,RSI,RSI_Signal
2019-01-10,64100,65600,64000,65300,6034432,2.6729559748427674,61388.92761858957,62848.239003204995,-1459.3113846154229,-2170.779022424802,61.79775280898876,40.95903783702722
2019-01-11,65400,65900,64200,65100,2890639,-0.3062787136294028,61959.861831114256,63015.0361140787,-1055.1742829644427,-1947.65807453273,63.95348837209303,45.55792794404039
2019-01-14,64300,65100,62000,62100,3282892,-4.6082949308755765,61981.421549404375,62947.25566118398,-965.8341117796081,-1751.2932819821058,59.45945945945946,48.338234247124205
2019-01-15,62200,64000,62200,64000,2413868,3.059581320450886,62291.972080265245,63025.23672331851,-733.2646430532623,-1547.6875541963373,60.526315789473685,50.775850555594104
2019-01-16,63800,64900,62700,64800,2478497,1.25,62677.82252945521,63156.70066973936,-478.8781402841487,-1333.9256714138996,61.34020618556701,52.888721681588684
2019-01-17,65500,66200,64600,64900,2830122,0.15432098765432098,63019.6959864621,63285.833953462374,-266.1379670002716,-1120.368130531174,62.5,54.81097734527095
2019-01-18,65000,65700,63900,64600,2263599,-0.46224961479198773,63262.819680852546,63383.179586539234,-120.35990568668785,-920.3664855622769,58.33333333333334,55.51544854288343
2019-01-21,65900,67400,65000,67000,3977425,3.7151702786377707,63837.77049918292,63651.09220975855,186.67828942437336,-698.957530564947,66.83937823834196,57.78023448197514
2019-01-22,67900,68000,65700,66600,4047917,-0.5970149253731344,64262.72888392401,63869.52982385051,393.19906007349346,-480.5262124372589,65.3061224489796,59.28541207537604
2019-01-23,65500,67200,64800,66800,2825017,0.3003003003003003,64653.078286397234,64086.601688750474,566.4765976467606,-271.12565042045503,76.92307692307693,62.81294504491622
2019-01-24,66900,70500,66900,70500,6914092,5.538922155688622,65552.60470387459,64561.66823032451,990.9364735500785,-18.713225626348304,80.5,66.35035603593298
2019-01-25,71600,74800,71100,74600,7163871,5.815602836879433,66944.51167250927,65305.248361411584,1639.2633110976822,312.8820817184578,83.54430379746836,69.78914558824006
2019-01-28,74700,74900,71200,71800,4972189,-3.753351206434316,67691.50987673861,65786.34107538109,1905.1688013575185,631.33942564627,74.23076923076923,70.6774703167459
2019-01-29,71400,73800,71000,73400,3368642,2.2284122562674096,68569.73912647113,66350.31581053804,2219.4233159330906,948.9562037036342,71.12068965517241,70.7661141844312
2019-01-30,73500,76300,73000,75900,5304841,3.4059945504087197,69697.4715685525,67057.69982457226,2639.7717439802364,1287.1193117589546,72.08333333333334,71.02955801421163
2019-01-31,76900,77100,73700,73900,4447535,-2.635046113306983,70344.01440415981,67564.53687460395,2779.4775295558647,1585.590955318337,67.05426356589147,70.23449912454761
2019-02-01,75400,76400,74700,75900,3349965,2.706359945872801,71198.78141890446,68181.97858759624,3016.8028313082177,1871.8333305163133,77.8225806451613,71.75211542867035
2019-02-07,77500,78200,76600,76700,4249110,1.0540184453227932,72045.122739073,68812.94313666318,3232.1796024098294,2143.902584895017,76.79324894514768,72.76034213196583
2019-02-08,75200,75500,73000,73500,4012485,-4.172099087353325,72268.95000998485,69160.13253394738,3108.8174760374677,2336.8855631235074,66.66666666666666,71.541607038906
2019-02-11,73000,74100,72200,74100,3374192,0.8163265306122449,72550.65000844872,69526.04864254387,3024.6013659048476,2474.4287236797754,67.29323308270676,70.69193224766616
2019-02-12,74100,76400,73900,75900,3526701,2.42914979757085,73065.93462253353,69998.19318754063,3067.741434992902,2593.0912659424007,70.10676156583631,70.5748981113002
2019-02-13,77300,77600,76100,76200,2378193,0.3952569169960474,73548.09852675915,70457.58628475983,3090.512241999313,2692.575461153783,67.6923076923077,69.9983800275017
2019-02-14,75800,77400,75100,77400,2313376,1.574803149606299,74140.69875341159,70971.8391525554,3168.859600856187,2787.832289094264,70.14925373134328,70.02855476827003
2019-02-15,76800,76900,73800,73800,4154616,-4.651162790697675,74088.28356057903,71181.33254866241,2906.9510119166225,2811.6560336587363,61.58940397350994,68.34072460931802
2019-02-18,74300,75300,74000,74700,1772434,1.2195121951219512,74182.3937820284,71441.97458209482,2740.419199933589,2797.4086669137073,57.66423357664234,66.20542640278288
2019-02-19,74500,74800,73000,73700,1462071,-1.3386880856760375,74108.17935402403,71609.23572416186,2498.943629862173,2737.7156595034007,48.148148148148145,62.593970751855935
2019-02-20,73700,76000,73600,75700,3134257,2.7137042062415198,74353.07483802033,71912.25530014986,2440.8195378704695,2678.3364351768146,58.297872340425535,61.73475106956985
